request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"d8521695-64e4-4358-a6fe-36e7f1651c0c",GET,/,"debug=true&locale=en",,302,,,,886088675290700,886088748954900,886088755704500
"b28c4785-a2c0-4fb6-a4d1-61cc76b7ded3",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=547,,886088786684700,886088801515000,886096832018300
"1e48c43d-838b-4480-97f3-042b899ccc9e",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,886097028942000,886097043252700,886097045681300
"156089bc-1a6b-47a1-9a5e-bacdade53e5b",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,886097061462700,886097066854200,886097068746000
"8b5e13d7-f4c9-48de-a2f0-bb36e163d521",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,886097081177900,886097086319000,886097088432500
"d6819696-b2ab-4cac-bb63-ecba27999147",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,886097099817100,886097104938200,886097106878200
"127aa2af-2520-491d-ac0e-1da9b126c8bf",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,886097118230200,886097122882100,886097124489900
"12da8601-f4a0-4d0c-8aa1-8d7ee458c21c",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,886097135967500,886097140434800,886097141496700
"a2771397-f93c-47f8-b29b-4fcb3472c97a",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,886097150260300,886097154555400,886097155459200
"7d13659e-cd24-486a-96eb-981203e3d203",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,886097163778300,886097167673100,886097168806300
"055c4c54-4f26-4e38-8461-74762e49b12f",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,886097177832900,886097182019400,886097183032600
"89004b1c-0a44-4e06-8f0b-2c8fb6d45155",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,886097193442900,886097197504000,886097198503500
"2515317f-316d-488c-ab7b-1f90f7bbd87e",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,886097209555000,886097213258900,886097214479700
"70b2a9b8-5669-42f4-b5c7-26c489556dc5",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,886097221579400,886097224994100,886097225969900
